size,rooms,age,price
1255,5,27,219.90948926543516
2075,2,0,335.4405128744677
1816,5,0,370.92739079279744
3143,2,28,424.0209708514687
1137,6,18,288.23037195222224
1678,5,10,303.2439477040533
1876,4,4,308.76714573160945
1591,2,11,290.86192054746266
3064,2,2,461.9878502994898
1563,5,0,318.84783658608615
3035,4,0,532.9787993880631
1179,4,7,260.3718658573215
1292,6,9,336.5224296015956
1980,4,10,349.28796203525275
2862,4,11,502.95869812204967
864,4,28,221.5635210610801
3368,3,12,483.9358962880231
2167,6,11,432.32927377385886
1952,2,30,280.3743987396287
2827,5,13,497.45578893830873
3495,2,1,483.27691348549735
2295,6,28,406.55128649996095
1962,5,18,375.9006121712397
2322,6,17,370.6715128394221
3440,4,2,509.2185371833556
1191,5,22,197.93919555599746
2498,4,16,391.02482913888605
1218,2,25,204.09855639489905
3136,2,7,489.8789263024007
1178,5,28,237.2123695104944
2596,5,25,452.2353886392823
3078,6,9,486.8574635446277
2888,6,25,423.9754390161211
2982,4,29,428.4513075275845
1000,5,1,277.60163622348267
2663,2,18,372.7426312976477
1579,6,8,291.7939474990031
1302,6,6,312.0119990121803
3254,2,3,441.8682624873786
2551,6,25,442.86181372075094
1604,4,20,291.64495615242123
2946,5,17,446.0230053418161
2695,2,12,376.55332706658265
2370,5,10,387.9196619527762
1760,6,28,323.6330225681707
3460,6,23,563.078558012531
2285,2,3,333.5568488416114
3490,4,24,513.401162887946
1828,3,20,276.103559540689
1302,2,28,170.41817919344138
1197,3,24,202.96424100113603
1670,3,3,278.5189419395156
1192,4,9,241.19876736632042
1006,3,4,192.7730526852788
1838,3,8,363.67812832290974
2681,4,23,406.6015887992932
2284,3,2,362.5868623001853
1663,3,16,282.90949776835555
1363,3,2,266.75179875772926
1820,2,15,272.8757600116694
895,2,3,206.75416750108562
2723,2,17,401.6976927511826
2557,4,16,391.5774713097368
3332,6,6,543.4445439838829
3078,3,23,426.4837075712089
2478,3,22,305.81197088161036
1340,4,29,194.92022344503616
1859,3,4,359.2518566861131
3372,2,11,513.764192837532
1983,6,16,369.7340990110905
2522,5,22,423.05392407639414
2619,3,12,408.0612538635884
3425,2,22,533.9720202113809
3404,5,24,538.4693727858644
2397,6,2,450.44206021298083
3493,5,8,529.2714889849893
1595,2,29,183.23884199356067
1851,5,16,345.2065908966806
2443,4,16,372.2512313678924
2163,5,29,316.00365726005816
2781,3,19,389.55567789393683
2154,3,15,311.4412999096401
2463,4,24,419.7385408768141
2329,2,21,349.5209939237362
2838,3,12,426.3606839670846
2296,6,26,430.5186034722506
3037,3,18,440.37420769119046
2208,3,16,321.42789496679336
2200,2,3,386.07810193174146
2106,5,11,394.1927510921165
3480,3,28,445.6688461418385
3475,4,8,526.2415330479098
1772,5,18,304.74954366538105
2568,6,11,421.59000672589156
2082,2,8,346.99443868829104
1509,6,6,386.81541601175326
2279,5,27,334.5158106545215
2234,5,13,406.1542309172643
1448,5,30,247.4939357719543
1117,6,19,253.86186540588255
2057,5,18,346.0301518940283
1483,6,25,276.3602307580046
1463,5,14,298.77304069862066
2798,4,15,414.98624708972403
2431,5,20,408.4814206444959
2295,6,4,436.14404726377154
1936,3,2,332.34629882833974
2653,5,11,423.67090844896006
2320,3,24,325.98071673579165
3289,4,19,505.56478064564396
1363,2,26,214.08292969060952
2091,4,20,316.4811188800362
2436,5,3,438.8033076357306
1498,3,20,268.54467808429473
2960,3,22,379.4648679719657
801,6,15,249.70400480949837
1441,3,24,218.3544060263538
3067,6,6,540.304966714829
2389,2,12,333.5985210864371
1654,5,20,263.357947483387
2559,6,9,418.39143905292093
3232,2,25,429.0421236665345
2461,3,6,399.81306254303706
1953,3,13,295.7520843723898
1876,2,30,271.0848114694343
2507,3,25,319.301998443276
2495,2,4,379.74800503381704
2533,6,2,439.68459500593855
2239,6,22,378.384097304946
3094,2,28,406.4649667829103
